section,state,symbol,entry_type,value
ACTION,0,"id",SHIFT,1
GOTO,0,"Program",GOTO,2
GOTO,0,"Stmt",GOTO,3
ACTION,1,"=",SHIFT,4
ACTION,2,"id",SHIFT,1
ACTION,2,"$",ACCEPT,0
GOTO,2,"Stmt",GOTO,5
ACTION,3,"id",REDUCE,1
ACTION,3,"$",REDUCE,1
ACTION,4,"id",SHIFT,6
ACTION,4,"num",SHIFT,7
GOTO,4,"Expr",GOTO,8
GOTO,4,"Term",GOTO,9
GOTO,4,"Factor",GOTO,10
ACTION,5,"id",REDUCE,0
ACTION,5,"$",REDUCE,0
ACTION,6,";",REDUCE,8
ACTION,6,"+",REDUCE,8
ACTION,6,"*",REDUCE,8
ACTION,7,";",REDUCE,7
ACTION,7,"+",REDUCE,7
ACTION,7,"*",REDUCE,7
ACTION,8,";",SHIFT,11
ACTION,8,"+",SHIFT,12
ACTION,9,";",REDUCE,4
ACTION,9,"+",REDUCE,4
ACTION,9,"*",SHIFT,13
ACTION,10,";",REDUCE,6
ACTION,10,"+",REDUCE,6
ACTION,10,"*",REDUCE,6
ACTION,11,"id",REDUCE,2
ACTION,11,"$",REDUCE,2
ACTION,12,"id",SHIFT,6
ACTION,12,"num",SHIFT,7
GOTO,12,"Term",GOTO,14
GOTO,12,"Factor",GOTO,10
ACTION,13,"id",SHIFT,6
ACTION,13,"num",SHIFT,7
GOTO,13,"Factor",GOTO,15
ACTION,14,";",REDUCE,3
ACTION,14,"+",REDUCE,3
ACTION,14,"*",SHIFT,13
ACTION,15,";",REDUCE,5
ACTION,15,"+",REDUCE,5
ACTION,15,"*",REDUCE,5
