section,state,symbol,entry_type,value
ACTION,0,"(",SHIFT,1
ACTION,0,"a",SHIFT,2
GOTO,0,"E",GOTO,3
GOTO,0,"T",GOTO,4
ACTION,1,"(",SHIFT,1
ACTION,1,"a",SHIFT,2
GOTO,1,"E",GOTO,5
GOTO,1,"T",GOTO,4
ACTION,2,")",REDUCE,3
ACTION,2,"+",REDUCE,3
ACTION,2,"$",REDUCE,3
ACTION,3,"+",SHIFT,6
ACTION,3,"$",ACCEPT,0
ACTION,4,")",REDUCE,1
ACTION,4,"+",REDUCE,1
ACTION,4,"$",REDUCE,1
ACTION,5,")",SHIFT,7
ACTION,5,"+",SHIFT,6
ACTION,6,"(",SHIFT,1
ACTION,6,"a",SHIFT,2
GOTO,6,"T",GOTO,8
ACTION,7,")",REDUCE,2
ACTION,7,"+",REDUCE,2
ACTION,7,"$",REDUCE,2
ACTION,8,")",REDUCE,0
ACTION,8,"+",REDUCE,0
ACTION,8,"$",REDUCE,0
